id	occurrenceID	measurementType	measurementTypeID	measurementValue	measurementValueID	measurementUnit	measurementUnitID
Cruise65:Station556:EventSea-Bird SBE09_9763		Dissolved oxygen	http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX	244		µmol/kg	http://vocab.nerc.ac.uk/collection/P06/current/KGUM
Cruise65:Station555:EventSea-Bird SBE09_9762		Dissolved oxygen	http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX	244		µmol/kg	http://vocab.nerc.ac.uk/collection/P06/current/KGUM
Cruise65:Station557:EventSea-Bird SBE09_9764		Dissolved oxygen	http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX	244		µmol/kg	http://vocab.nerc.ac.uk/collection/P06/current/KGUM
Cruise65:Station558:EventSea-Bird SBE09_9765		Dissolved oxygen	http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX	216		µmol/kg	http://vocab.nerc.ac.uk/collection/P06/current/KGUM
Cruise65:Station560:EventSea-Bird SBE09_9767		Dissolved oxygen	http://vocab.nerc.ac.uk/collection/P01/current/DOXYZZXX	218		µmol/kg	http://vocab.nerc.ac.uk/collection/P06/current/KGUM
Cruise66:Station589:EventSea-Bird SBE21_9890		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	32.5		PSU	
Cruise68:Station593:EventSea-Bird SBE21_9894		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34.1		PSU	
Cruise66:Station571:EventSea-Bird SBE21_9815		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	31.56		PSU	
Cruise68:Station594:EventSea-Bird SBE21_9895		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34.5		PSU	
Cruise66:Station570:EventSea-Bird SBE21_9814		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	31.3		PSU	
Cruise68:Station595:EventSea-Bird SBE21_9911		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	30.4		PSU	
Cruise66:Station564:EventSea-Bird SBE21_9784		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	32.93		PSU	
Cruise68:Station596:EventSea-Bird SBE21_9925		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	30.3		PSU	
Cruise66:Station563:EventSea-Bird SBE21_9783		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34		PSU	
Cruise68:Station597:EventSea-Bird SBE21_9926		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34.9		PSU	
Cruise68:Station598:EventSea-Bird SBE21_9927		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34.9		PSU	
Cruise66:Station573:EventSea-Bird SBE21_9817		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	32.08		PSU	
Cruise68:Station599:EventSea-Bird SBE21_9928		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34.7		PSU	
Cruise66:Station587:EventSea-Bird SBE21_9879		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	34.11		PSU	
Cruise65:Station560:EventSea-Bird SBE09_9767		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	35.55		PSU	
Cruise65:Station558:EventSea-Bird SBE09_9765		Salinity	http://vocab.nerc.ac.uk/collection/P01/current/SSALST01	35.55		PSU	
